OBJECTID,Nousijamaa,Nimi,Lyhyt_tunn
4404,16,Puistolan tori,H3425
4405,108,Puistolan tori,H3426
4406,139,Puistolan VPK,H3419
4407,157,Puistolan VPK,H3420
4408,834,Pukinmäen asema,H3183
4409,437,Pukinmäen asema,H3184
4410,2,Pukinmäen asema,H3737
4411,66,Pukinmäenkaari,H3191
4412,155,Pukinmäenkaari,H3192
4413,16,Pukkivuorentie,V4008
4414,2,Pulkuksentie,Ki0455
4415,1,Pulttitie,H4237
4416,3,Punahilkantie,H4775
4417,12,Punahilkantie,H4776
4418,0,Punakiventie,H4947
4419,0,Punakiventie,H4948
4420,1,Punakiventie,H4945
4421,0,Punakiventie,H4946
4422,112,Punakiventie,H4637
4423,2,Punakiventie,H4636
4424,1,Punametsä,E7012
4425,1,Punametsä,E7152
4426,3,Punametsän talli,E7115
4427,1,Punametsän talli,E7116
4428,5,Punametsänristi,E7011
4429,2,Punametsäntie,E7117
4430,3,Punametsäntie,E7118
4431,1,Punjo,E6941
4432,2,Punjonsuo,E6951
4433,4,Puolaharju,H4215
4434,47,Puolaharju,H4214
4435,86,Puolarmetsä,E3208
4436,59,Puolarmetsä,E3209
4437,59,Puolarmetsä,E3210
4438,140,Puolarmetsänkatu,E4934
4439,123,Puolarmetsänkuja,E4329
4440,40,Puolarmäki,E4325
4441,127,Puolarmäki,E4326
4442,60,Puolarniitty,E4906
4443,194,Puolarniitty,E4907
4444,8,Puoshaantie,Ki0735
4445,0,Puoshaantie,Ki0736
4446,152,Puosunrinne,E4054
4447,411,Puosunrinne,E4055
4448,44,Puotila (M),H4299
4449,65,Puotila(M),H4343
4450,8,Puotila(M),H4342
4451,1,Puotila(M),H4298
4452,0,Puotilan leikkiniitt,H4835
4453,11,Puotilan leikkiniitt,H4836
4454,56,Puotilan ostoskeskus,H4513
4455,46,Puotilan ostoskeskus,H4512
4456,2,Puotilantie,H4840
4457,0,Puotilantie,H4841
4458,12,Puotilantie,H4509
4459,0,Puotilantie,H4508
4460,17,Puotilantie,H4505
4461,44,Puotilantie,H4504
4462,272,Puotinharju,H4272
4463,33,Puotinharju,H4273
4464,656,Puotinharju,H4274
4465,0,Puotinkylän kartano,H4833
4466,6,Puotinkylän kartano,H4834
4467,0,Puotismäentie,E6350
4468,3,Puotismäentie,E6351
4469,1,Purjetie,H4585
4470,2,Purolaakso,Ki1116
4471,0,Purolaakso,Ki1117
4472,1,Puromäki,Si1505
4473,29,Puroniityntie,H5020
4474,8,Puronsuuntie,Ki1708
4475,0,Puronsuuntie,Ki1709
4476,74,Purotie,V6711
4477,14,Purotie,V6712
4478,26,Putkitie,H4236
4479,3,Putvikintie,Ki0911
4480,39,Puusepänkatu,H4169
4481,24,Puusepänkatu,H4170
4482,1,Puuskakuja,H4143
4483,140,Puuskakuja,H4144
4484,0,Puuskaniementie,H4751
4485,173,Puuskarinne,H4145
4486,251,Puustellinmäki,E1049
4487,200,Puustellinmäki,E1052
4488,2,Puustellinpolku,H1547
4489,136,Puustellinpolku,H1546
4490,18,Puustellintie,H1554
4491,54,Puustellintie,H1555
4492,21,Puutarhatie,Ka1702
4493,61,Puutarhatie,V6803
4494,40,Puutarhatie,V6804
4495,8,Puuvalonaukio,Ke0426
4496,31,Pyhtäänkorvenkuja,V5212
4497,33,Pyhtäänkorvenkuja,V5213
4498,11,Pyhtäänkorventie,V5246
4499,8,Pyhtäänkorventie,V5247
4500,3,Pyhän Laurin tie,H1492
4501,276,Pyhätunturintie,H4361
4502,193,Pyhätunturintie,H4360
4503,34,Pyrytie,H3370
4504,10,Pyrytie,H3371
4505,11,Pyykuja,Si0837
4506,18,Pyökkitie,V7001
4507,40,Pyökkitie,V7002
4508,654,Pyöräilystadion,H2430
4509,618,Pyöräilystadion,H2429
4510,299,Pyöräilystadion,H2431
4511,67,Pyörätie,V9504
4512,6,Pyötsaarenkuja,H4519
4513,66,Pyötsaarenkuja,H4518
4514,6,Pähkinäpolku,V1212
4515,165,Pähkinärinteentie,V1206
4516,139,Pähkinätie,V1211
4517,13,Pähkinätie,V1218
4518,432,Päijänteentie,H2177
4519,106,Päijänteentie,H2178
4520,1,Päiväkoti Koralli,H4950
4521,4,Päiväkummun ramppi,V9723
4522,2,Päiväkummun ramppi,V9724
4523,55,Päiväkummuntie,V7517
4524,1,Päiväkummuntie,V7522
4525,1,Päiväkumpu,V9721
4526,6,Päiväkumpu,V9722
4527,4,Päivänsalontie,H2271
4528,86,Päivänsalontie,H2270
4529,105,Päiväntaite,E3256
4530,1,Päivärinteentie,Ki1712
4531,44,Päivölä,Ke0527
4532,2,Päivölä,Ke0529
4533,46,Päivöläntie,H3390
4534,66,Päivöläntie,H3334
4535,25,Päivöläntie,H3335
4536,12,Pärispruunpuisto,V1454
4537,36,Pärispruunpuisto,V1455
4538,35,Pääskyskuja,E1839
4539,54,Pääskyskuja,E1840
4540,21,Raamattuopisto,Ka1703
4541,16,Raamattuopisto,Ka1704
4542,68,Raappavuorenkuja,V1712
4543,3,Raappavuorenkuja,V1713
4544,56,Raappavuorenreuna,V1701
4545,80,Raappavuorentie,V1502
4546,18,Raappavuorentie,V1528
