"","Departure.station.id","x","y","Rides_total"
"1","001",24.9502114714031,60.155369615074,2936
"2","002",24.9565097715858,60.1609890692806,1696
"3","003",24.9450181631667,60.1581769029949,2479
"4","004",24.9417758006418,60.1609858921764,2679
"5","005",24.9362853002102,60.157948291819,1464
"6","006",24.9296476311878,60.1622283898112,4910
"7","007",24.9459599998806,60.16310319166,1631
"8","008",24.9391145483706,60.1653538465664,2679
"9","009",24.9441887601673,60.1668948711694,3834
"10","010",24.9494728793816,60.165017172741,1796
"11","011",24.9510226994024,60.1674572921424,2622
"12","012",24.9584922784237,60.1684959040351,4153
"13","013",24.9755284752387,60.1679190540567,1482
"14","014",24.9526414004662,60.1691277919118,1084
"15","015",24.9555218601895,60.1710906797301,1345
"16","016",24.9613746997628,60.1741821916183,3080
"17","017",24.9494967766807,60.1730909028646,4027
"18","018",24.9493081473109,60.1696567475916,3868
"19","019",24.9425267992462,60.1708235917114,6142
"20","020",24.9433556359399,60.1732349001278,1441
"21","021",24.9393079129956,60.1721906837527,8572
"22","022",24.9397601000633,60.1706060919732,5878
"23","023",24.9374279000749,60.1712578922641,3188
"24","024",24.9394194995361,60.1690723919948,2588
"25","025",24.9346069826026,60.1700420279259,4242
"26","026",24.9305373005364,60.168609492141,5795
"27","027",24.9366415937527,60.1677057096398,1153
"28","028",24.9270362659605,60.1657993006509,1873
"29","029",24.9225706207902,60.1641173724871,3527
"30","030",24.9145164996449,60.1635308918594,9698
"31","031",24.9227415692015,60.1683228179992,3435
"32","032",24.9318975121431,60.1713588986588,2202
"33","033",24.923839759,60.171202903,1475
"34","034",24.9328983153441,60.173956898526,1777
"35","035",24.9282685568484,60.1741008716685,1755
"36","036",24.9224632983339,60.1760927790452,3969
"37","037",24.9283525094474,60.1775346191328,3864
"38","038",24.9249700522851,60.1791005171717,2386
"39","039",24.9266869997467,60.182552891987,4219
"40","040",24.9522579797678,60.1780816347447,4604
"41","041",24.949399999845,60.1808629918822,5941
"42","042",24.9551952848707,60.1831601093456,1764
"43","043",24.9526762998375,60.18428329212,2425
"44","044",24.960554135,60.187712639,1882
"45","045",24.9508131529517,60.1867902883311,2316
"46","046",24.9435409604638,60.1869040535812,1777
"47","047",24.9535685411145,60.1652833427097,837
"48","048",24.9674668165293,60.1647464973781,1452
"49","049",24.9417379007102,60.1634749245163,2766
"50","050",24.8861093999757,60.1498126916296,1361
"51","051",24.8812501991249,60.1506599919369,1458
"52","052",24.879315899385,60.1540762917607,1761
"53","053",24.8850653001728,60.1568169919509,2138
